OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-30814,2023-166R,2023-11-09T14:00:01.000224,15.80095750,.0001098,53.0565,205.5030,118.9240,112.8631,0,U,58165,999,301,-.49499E-2,-.854983E-2,0
STARLINK-30789,2023-166S,2023-11-09T14:00:01.000224,15.80017304,.000088,53.0562,205.5094,84.9408,143.7039,0,U,58166,999,301,-.48918E-2,-.843021E-2,0
STARLINK-30811,2023-166T,2023-11-09T14:00:01.000224,15.79979977,.0000742,53.0561,205.5046,90.4202,140.5058,0,U,58167,999,285,-.49648E-2,-.853065E-2,0
STARLINK-30812,2023-166U,2023-11-09T14:00:01.000224,15.80004477,.0000729,53.0562,205.5073,88.0471,141.6317,0,U,58168,999,285,-.49278E-2,-.848156E-2,0
STARLINK-30771,2023-166V,2023-11-09T14:00:01.000224,15.79953283,.0000833,53.0562,205.5006,85.6151,147.3446,0,U,58169,999,301,-.50291E-2,-.862146E-2,0
STARLINK-30764,2023-166W,2023-11-09T14:00:01.000224,15.79948661,.0000696,53.0562,205.4988,91.7132,142.0828,0,U,58170,999,301,-.50558E-2,-.866086E-2,0
STARLINK-30752,2023-166X,2023-11-09T14:00:01.000224,15.79938922,.0000603,53.0563,205.4970,108.6767,126.0161,0,U,58171,999,301,-.50678E-2,-.867568E-2,0
2023-165C,2023-165C,2023-11-09T13:34:52.558176,13.97202714,.0015231,67.1461,79.8801,328.5116,31.5056,0,U,58172,999,155,.1162E-3,.88E-6,0
PARUS,1998-067VZ,2023-11-09T09:42:46.248480,15.83276250,.0013429,51.6272,327.8988,86.8755,273.3784,0,U,58173,999,229,.11084E-1,.2841004E-1,0
STARLINK-30753,2023-167A,2023-11-09T14:00:01.000224,15.83461362,.0001723,43.0051,106.7902,253.4564,269.7351,0,U,58175,999,269,-.40707E-2,-.834952E-2,0
STARLINK-30824,2023-167B,2023-11-09T14:00:01.000224,15.83459930,.0001723,43.0049,106.7871,256.0135,268.3459,0,U,58176,999,269,-.40909E-2,-.838673E-2,0
STARLINK-30791,2023-167C,2023-11-09T14:00:01.000224,15.83463988,.0001526,43.0048,106.7844,262.1933,263.2997,0,U,58177,999,269,-.41283E-2,-.845731E-2,0
STARLINK-30810,2023-167D,2023-11-09T14:00:01.000224,15.83462172,.0001597,43.0048,106.7805,277.1782,249.8186,0,U,58178,999,269,-.41834E-2,-.855947E-2,0
STARLINK-30819,2023-167E,2023-11-09T14:00:01.000224,15.83471571,.000166,43.0053,106.7793,275.7134,251.8826,0,U,58179,999,273,-.41913E-2,-.857789E-2,0
STARLINK-30806,2023-167F,2023-11-09T14:00:01.000224,15.83485481,.0001679,43.0047,106.7751,281.7505,247.3458,0,U,58180,999,269,-.42191E-2,-.863485E-2,0
STARLINK-30821,2023-167G,2023-11-09T14:00:01.000224,15.83477752,.0001266,43.0048,106.7777,281.3589,246.7264,0,U,58181,999,269,-.41654E-2,-.853063E-2,0
STARLINK-30778,2023-167H,2023-11-09T14:00:01.000224,15.83628752,.0000939,43.0048,106.7720,295.3678,234.9240,0,U,58182,999,269,-.41598E-2,-.85754E-2,0
STARLINK-30809,2023-167J,2023-11-09T14:00:01.000224,15.83498902,.0001305,43.0048,106.7714,262.4040,268.0853,0,U,58183,999,269,-.42155E-2,-.863188E-2,0
STARLINK-30801,2023-167K,2023-11-09T14:00:01.000224,15.83493110,.0001465,43.0046,106.7670,276.5990,255.6099,0,U,58184,999,269,-.42677E-2,-.872719E-2,0
STARLINK-30793,2023-167L,2023-11-09T14:00:01.000224,15.83494040,.0002879,43.0050,106.7656,249.6104,283.2178,0,U,58185,999,269,-.42058E-2,-.861817E-2,0
STARLINK-30755,2023-167M,2023-11-09T14:00:01.000224,15.83504787,.0001359,43.0046,106.7634,280.0915,253.5783,0,U,58186,999,269,-.42696E-2,-.873476E-2,0
STARLINK-30760,2023-167N,2023-11-09T14:00:01.000224,15.83512253,.0001321,43.0044,106.7617,277.9360,256.3527,0,U,58187,999,274,-.42722E-2,-.874229E-2,0
STARLINK-30826,2023-167P,2023-11-09T14:00:01.000224,15.83424364,.0001735,43.0048,106.7552,286.9336,249.9636,0,U,58188,999,269,-.38038E-2,-.78351E-2,0
STARLINK-30796,2023-167Q,2023-11-09T14:00:01.000224,15.83509941,.0001537,43.0043,106.7576,284.2433,251.5373,0,U,58189,999,269,-.43208E-2,-.883228E-2,0
STARLINK-30820,2023-167R,2023-11-09T14:00:01.000224,15.83471730,.0001645,43.0043,106.7522,263.8098,274.1534,0,U,58190,999,274,-.40646E-2,-.834163E-2,0
STARLINK-30785,2023-167S,2023-11-09T14:00:01.000224,15.83519861,.0001718,43.0042,106.7465,262.5078,277.7173,0,U,58191,999,269,-.44384E-2,-.905407E-2,0
STARLINK-30807,2023-167T,2023-11-09T14:00:01.000224,15.83519218,.0001599,43.0046,106.7502,264.2834,274.5714,0,U,58192,999,274,-.43809E-2,-.894725E-2,0
STARLINK-30822,2023-167U,2023-11-09T14:00:01.000224,15.83515650,.0001703,43.0043,106.7434,264.4879,277.1064,0,U,58193,999,274,-.44653E-2,-.910189E-2,0
STARLINK-30830,2023-167V,2023-11-09T14:00:01.000224,15.83515567,.0001172,43.0047,106.7411,278.1627,264.2219,0,U,58194,999,274,-.44468E-2,-.906576E-2,0
STARLINK-30827,2023-167W,2023-11-09T14:00:01.000224,15.83526725,.0001594,43.0044,106.7395,270.7114,272.3338,0,U,58195,999,274,-.44796E-2,-.913214E-2,0
STARLINK-30798,2023-167X,2023-11-09T14:00:01.000224,15.83525057,.0001695,43.0044,106.7364,268.5465,275.7685,0,U,58196,999,269,-.45159E-2,-.919862E-2,0
STARLINK-30762,2023-167Y,2023-11-09T14:00:01.000224,15.83528469,.000118,43.0043,106.7348,277.3746,267.5803,0,U,58197,999,269,-.44918E-2,-.915367E-2,0
SZ-16 MODULE,2023-077G,2023-11-09T12:11:09.591360,15.62398650,.0007431,41.4843,351.0729,125.3721,234.7813,0,U,58198,999,145,.44705E-3,.40707E-3,0
TIANHUI 5A,2023-168A,2023-11-09T16:15:22.685760,14.86871692,.0000308,97.8283,318.7003,228.4920,131.6269,0,U,58199,999,129,.12285E-3,.1043E-4,0
CZ-6A R/B,2023-168B,2023-11-09T13:51:39.449088,15.04342434,.0077641,97.8102,318.8112,2.5388,357.6215,0,U,58200,999,130,.47111E-3,.6956E-4,0
TIANHUI 5B,2023-168C,2023-11-09T06:34:00.868224,14.86890004,.000023,97.8277,318.3026,277.0542,83.0647,0,U,58201,999,123,.13696E-3,.1169E-4,0
CZ-6A DEB,2023-168D,2023-11-09T13:04:30.875520,14.86811697,.0003049,97.8265,318.5640,152.5389,207.5988,0,U,58202,999,127,.13033E-2,.11579E-3,0
TJS-10,2023-169A,2023-11-09T16:41:19.370976,1.00437111,.0041143,0.0978,75.4086,42.2493,353.8281,0,U,58204,999,14,0,.45E-6,0
CZ-7A R/B,2023-169B,2023-11-09T05:13:10.149312,2.43421830,.7218817,16.9337,284.8153,182.6936,168.5799,0,U,58205,999,13,.30795E-3,.304799E-2,-.1121E-4
2023-172A,2023-172A,2023-11-09T16:38:43.285920,2.28293762,.7293711,28.3977,216.2785,179.4324,167.1655,0,U,58253,999,1,0,-.507E-5,0
2023-172B,2023-172B,2023-11-09T16:57:09.366624,2.38221370,.7231115,28.3963,216.2181,178.7397,185.5310,0,U,58254,999,0,0,-.1616E-4,.16894E-5
