OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ANSER-FLW2,2023-155C,2023-10-27T03:50:41.629920,14.98904448,.0004599,97.6723,8.6857,289.0587,71.0137,0,U,58018,999,270,.50577E-3,.6058E-4,0
ANSER-FLW1,2023-155D,2023-10-27T03:50:03.208704,14.98948188,.0004475,97.6723,8.6862,289.7450,70.3290,0,U,58019,999,270,.51785E-3,.6211E-4,0
NESS,2023-155E,2023-10-27T03:46:30.792576,14.99209050,.0004014,97.6733,8.6904,288.1202,71.9584,0,U,58020,999,270,.84493E-3,.10245E-3,0
CSC 2,2023-155F,2023-10-27T03:44:25.609344,14.99238643,.0001751,97.6736,8.6937,326.7126,33.3987,0,U,58021,999,270,.35302E-3,.4246E-4,0
CSC 1,2023-155G,2023-10-27T03:43:54.140736,14.99280737,.000176,97.6728,8.6918,326.5080,33.6032,0,U,58022,999,270,.41042E-3,.4952E-4,0
PRETTY,2023-155H,2023-10-27T05:09:21.604896,14.99972103,.0000732,97.6729,8.7671,159.3341,200.7912,0,U,58023,999,271,.85855E-3,.1062E-3,0
MACSAT (FINCH 1),2023-155J,2023-10-27T05:07:37.229376,15.00061871,.000119,97.6728,8.7686,136.6283,223.5035,0,U,58024,999,271,.77551E-3,.9608E-4,0
PVCC,2023-155K,2023-10-27T05:05:47.167872,15.00113058,.0002442,97.6725,8.7701,175.1770,184.9478,0,U,58025,999,271,.52969E-3,.655E-4,0
STARLINK-30514,2023-156A,2023-10-26T16:00:00.999936,15.75526558,.0000814,53.0509,135.7119,67.6016,249.8007,0,U,58028,999,392,-.50663E-2,-.723266E-2,0
STARLINK-30518,2023-156B,2023-10-26T16:00:00.999936,15.75545340,.0000863,53.0505,135.7105,67.9184,249.9911,0,U,58029,999,393,-.505E-2,-.721684E-2,0
STARLINK-30549,2023-156C,2023-10-26T16:00:00.999936,15.75361332,.0000983,53.0505,135.7053,66.8783,253.4009,0,U,58030,999,360,-.51977E-2,-.735598E-2,0
STARLINK-30556,2023-156D,2023-10-26T16:00:00.999936,15.75222476,.0001005,53.0506,135.7027,69.1546,252.5086,0,U,58031,999,392,-.53117E-2,-.746209E-2,0
STARLINK-30561,2023-156E,2023-10-26T16:00:00.999936,15.75085880,.0001054,53.0510,135.7004,66.8879,256.0806,0,U,58032,999,392,-.54231E-2,-.756388E-2,0
STARLINK-30562,2023-156F,2023-10-26T16:00:00.999936,15.74843369,.0001009,53.0508,135.6955,71.8087,253.4637,0,U,58033,999,392,-.56242E-2,-.77444E-2,0
STARLINK-30565,2023-156G,2023-10-26T16:00:00.999936,15.74681818,.0001002,53.0508,135.6915,60.4167,266.7067,0,U,58034,999,392,-.57595E-2,-.786349E-2,0
STARLINK-30438,2023-156H,2023-10-26T16:00:00.999936,15.74729190,.0000917,53.0507,135.6933,83.9949,242.3345,0,U,58035,999,360,-.57149E-2,-.782243E-2,0
STARLINK-30437,2023-156J,2023-10-26T16:00:00.999936,15.74427906,.0000934,53.0511,135.6875,62.5382,266.6210,0,U,58036,999,381,-.59623E-2,-.803377E-2,0
